from,to,carrier,departure,days_to_departure,price
Moscow,Simferopol,Аэрофлот,2015-05-21,0,4312
Moscow,Simferopol,Аэрофлот,2015-05-21,2,3671
Moscow,Simferopol,Аэрофлот,2015-05-21,3,4000
Moscow,Simferopol,Аэрофлот,2015-05-21,5,3750
Moscow,Simferopol,Аэрофлот,2015-05-21,7,3782
Moscow,Simferopol,Аэрофлот,2015-05-21,9,3750
Moscow,Simferopol,Аэрофлот,2015-05-21,14,4025
Moscow,Simferopol,Аэрофлот,2015-05-21,15,4500
Moscow,Simferopol,Аэрофлот,2015-05-21,17,4500
Moscow,Simferopol,Аэрофлот,2015-05-21,20,3750
Moscow,Simferopol,Аэрофлот,2015-05-21,23,3750
Moscow,Simferopol,Аэрофлот,2015-05-21,24,4500
Moscow,Simferopol,Аэрофлот,2015-05-21,28,3645
Moscow,Simferopol,Аэрофлот,2015-05-21,29,3750
Moscow,Simferopol,Аэрофлот,2015-05-21,30,3750
Moscow,Simferopol,Аэрофлот,2015-05-21,31,4606
Moscow,Simferopol,Аэрофлот,2015-05-21,34,3750
Moscow,Simferopol,Аэрофлот,2015-05-21,35,4003
Moscow,Simferopol,Аэрофлот,2015-05-21,36,3827
Moscow,Simferopol,Аэрофлот,2015-05-21,40,4760
Moscow,Simferopol,Аэрофлот,2015-05-21,41,3909
Moscow,Simferopol,Аэрофлот,2015-05-21,43,3902
Moscow,Simferopol,Аэрофлот,2015-05-21,48,3909
Moscow,Simferopol,Аэрофлот,2015-05-21,51,4475
Moscow,Simferopol,Аэрофлот,2015-05-21,55,4640
Moscow,Simferopol,Аэрофлот,2015-05-21,69,4640
Moscow,Simferopol,Аэрофлот,2015-05-21,76,4640
Moscow,Simferopol,Аэрофлот,2015-05-21,85,4815
Moscow,Simferopol,Аэрофлот,2015-05-20,0,4099
Moscow,Simferopol,Аэрофлот,2015-05-20,1,4333
Moscow,Simferopol,Аэрофлот,2015-05-20,4,4000
Moscow,Simferopol,Аэрофлот,2015-05-20,5,4500
Moscow,Simferopol,Аэрофлот,2015-05-20,8,3750
Moscow,Simferopol,Аэрофлот,2015-05-20,13,4500
Moscow,Simferopol,Аэрофлот,2015-05-20,15,3750
Moscow,Simferopol,Аэрофлот,2015-05-20,17,3750
Moscow,Simferopol,Аэрофлот,2015-05-20,18,3750
Moscow,Simferopol,Аэрофлот,2015-05-20,19,4500
Moscow,Simferopol,Аэрофлот,2015-05-20,20,3932
Moscow,Simferopol,Аэрофлот,2015-05-20,21,4500
Moscow,Simferopol,Аэрофлот,2015-05-20,22,3750
Moscow,Simferopol,Аэрофлот,2015-05-20,24,1875
Moscow,Simferopol,Аэрофлот,2015-05-20,25,3750
Moscow,Simferopol,Аэрофлот,2015-05-20,27,3750
Moscow,Simferopol,Аэрофлот,2015-05-20,28,3750
Moscow,Simferopol,Аэрофлот,2015-05-20,29,3833
Moscow,Simferopol,Аэрофлот,2015-05-20,32,3609
Moscow,Simferopol,Аэрофлот,2015-05-20,33,3900
Moscow,Simferopol,Аэрофлот,2015-05-20,34,3909
Moscow,Simferopol,Аэрофлот,2015-05-20,36,4760
Moscow,Simferopol,Аэрофлот,2015-05-20,37,4760
Moscow,Simferopol,Аэрофлот,2015-05-20,38,3909
Moscow,Simferopol,Аэрофлот,2015-05-20,39,3902
Moscow,Simferopol,Аэрофлот,2015-05-20,40,4333
Moscow,Simferopol,Аэрофлот,2015-05-20,41,3902
Moscow,Simferopol,Аэрофлот,2015-05-20,42,4760
Moscow,Simferopol,Аэрофлот,2015-05-20,43,4760
Moscow,Simferopol,Аэрофлот,2015-05-20,45,3909
Moscow,Simferopol,Аэрофлот,2015-05-20,46,3909
Moscow,Simferopol,Аэрофлот,2015-05-20,47,4069
Moscow,Simferopol,Аэрофлот,2015-05-20,51,4640
Moscow,Simferopol,Аэрофлот,2015-05-20,52,4640
Moscow,Simferopol,Аэрофлот,2015-05-20,55,4311
Moscow,Simferopol,Аэрофлот,2015-05-20,56,4640
Moscow,Simferopol,Аэрофлот,2015-05-20,61,4640
Moscow,Simferopol,Аэрофлот,2015-05-20,62,5868
Moscow,Simferopol,Аэрофлот,2015-05-20,66,4640
Moscow,Simferopol,Аэрофлот,2015-05-20,70,4640
Moscow,Simferopol,Аэрофлот,2015-05-20,72,4640
Moscow,Simferopol,Аэрофлот,2015-05-20,78,4640
Moscow,Simferopol,Аэрофлот,2015-05-20,83,4311
Moscow,Simferopol,Аэрофлот,2015-05-19,0,4107
Moscow,Simferopol,Аэрофлот,2015-05-19,1,3750
Moscow,Simferopol,Аэрофлот,2015-05-19,2,4162
Moscow,Simferopol,Аэрофлот,2015-05-19,3,4123
Moscow,Simferopol,Аэрофлот,2015-05-19,4,4500
Moscow,Simferopol,Аэрофлот,2015-05-19,5,4071
Moscow,Simferopol,Аэрофлот,2015-05-19,6,4500
Moscow,Simferopol,Аэрофлот,2015-05-19,8,3869
Moscow,Simferopol,Аэрофлот,2015-05-19,9,3562
Moscow,Simferopol,Аэрофлот,2015-05-19,11,3900
Moscow,Simferopol,Аэрофлот,2015-05-19,12,3469
Moscow,Simferopol,Аэрофлот,2015-05-19,13,3562
Moscow,Simferopol,Аэрофлот,2015-05-19,16,3750
Moscow,Simferopol,Аэрофлот,2015-05-19,18,3750
Moscow,Simferopol,Аэрофлот,2015-05-19,19,3967
Moscow,Simferopol,Аэрофлот,2015-05-19,20,3750
Moscow,Simferopol,Аэрофлот,2015-05-19,25,3638
Moscow,Simferopol,Аэрофлот,2015-05-19,26,4500
Moscow,Simferopol,Аэрофлот,2015-05-19,27,4500
Moscow,Simferopol,Аэрофлот,2015-05-19,28,3750
Moscow,Simferopol,Аэрофлот,2015-05-19,33,4382
Moscow,Simferopol,Аэрофлот,2015-05-19,34,3902
Moscow,Simferopol,Аэрофлот,2015-05-19,35,3909
Moscow,Simferopol,Аэрофлот,2015-05-19,36,3902
Moscow,Simferopol,Аэрофлот,2015-05-19,40,3902
